"filename", "language", "Shell Script", "Markdown", "Docker", "YAML", "Ruby", "Makefile", "Ini", "Properties", "TOML", "comment", "blank", "total"
"/home/galeano/dotfiles/README.md", "Markdown", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 28, 118
"/home/galeano/dotfiles/alacritty/.config/alacritty/alacritty.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 2, 11, 38
"/home/galeano/dotfiles/alacritty/.config/alacritty/custom_themes/iterm.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 4, 29
"/home/galeano/dotfiles/gtk-3.0/.config/gtk-3.0/settings.ini", "Ini", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"/home/galeano/dotfiles/neofetch/.config/neofetch/config.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 85, 0, 646, 134, 865
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/.circleci/config.yml", "YAML", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/.github/ISSUE_TEMPLATE/bug-report.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 10, 37
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/.github/ISSUE_TEMPLATE/feature_request.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/.rubocop.yml", "YAML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 9, 31
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/CHANGELOG.md", "Markdown", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/Dockerfile", "Docker", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/Gemfile", "Ruby", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/INSTALL.md", "Markdown", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 25, 82
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/Makefile", "Makefile", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 8, 36
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/README.md", "Markdown", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 88, 192
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/install_test_zsh.sh", "Shell Script", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 27
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/async_spec.rb", "Ruby", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 10, 71
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/auto_cd_spec.rb", "Ruby", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/bracketed_paste_magic_spec.rb", "Ruby", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/client_zpty_spec.rb", "Ruby", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/glob_subst_spec.rb", "Ruby", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/rebound_bracket_spec.rb", "Ruby", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/vi_mode_spec.rb", "Ruby", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 12, 81
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/wrapped_widget_spec.rb", "Ruby", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/zle_input_stack_spec.rb", "Ruby", 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 4, 25
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/kill_ring_spec.rb", "Ruby", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/line_init_spec.rb", "Ruby", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/multi_line_spec.rb", "Ruby", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/options/buffer_max_size_spec.rb", "Ruby", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 7, 31
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/options/highlight_style_spec.rb", "Ruby", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/options/original_widget_prefix_spec.rb", "Ruby", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/options/strategy_spec.rb", "Ruby", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 10, 56
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/options/widget_lists_spec.rb", "Ruby", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 20, 122
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/spec_helper.rb", "Ruby", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 14, 55
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/strategies/completion_spec.rb", "Ruby", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 12, 73
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/strategies/history_spec.rb", "Ruby", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/strategies/match_prev_cmd_spec.rb", "Ruby", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 7, 35
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/strategies/special_characters_helper.rb", "Ruby", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 10, 76
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/terminal_session.rb", "Ruby", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 27, 100
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/widgets/disable_spec.rb", "Ruby", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/widgets/enable_spec.rb", "Ruby", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/widgets/fetch_spec.rb", "Ruby", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/widgets/toggle_spec.rb", "Ruby", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/async.zsh", "Shell Script", 35, 0, 0, 0, 0, 0, 0, 0, 0, 26, 16, 77
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/bind.zsh", "Shell Script", 66, 0, 0, 0, 0, 0, 0, 0, 0, 21, 20, 107
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/config.zsh", "Shell Script", 68, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 94
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/fetch.zsh", "Shell Script", 11, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 28
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/highlight.zsh", "Shell Script", 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 27
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/start.zsh", "Shell Script", 11, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 34
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/strategies/completion.zsh", "Shell Script", 63, 0, 0, 0, 0, 0, 0, 0, 0, 46, 29, 138
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/strategies/history.zsh", "Shell Script", 10, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 33
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/strategies/match_prev_cmd.zsh", "Shell Script", 21, 0, 0, 0, 0, 0, 0, 0, 0, 34, 12, 67
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/util.zsh", "Shell Script", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 12
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/widgets.zsh", "Shell Script", 137, 0, 0, 0, 0, 0, 0, 0, 0, 44, 51, 232
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/zsh-autosuggestions.plugin.zsh", "Shell Script", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/zsh-autosuggestions.zsh", "Shell Script", 442, 0, 0, 0, 0, 0, 0, 0, 0, 263, 160, 865
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-bat/README.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-bat/zsh-bat.plugin.zsh", "Shell Script", 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 18
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/.github/workflows/test.yml", "YAML", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 3, 76
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/COPYING.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/HACKING.md", "Markdown", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 28, 100
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/INSTALL.md", "Markdown", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 58, 170
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/Makefile", "Makefile", 0, 0, 0, 0, 0, 54, 0, 0, 0, 2, 9, 65
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/README.md", "Markdown", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 32, 98
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/changelog.md", "Markdown", 0, 588, 0, 0, 0, 0, 0, 0, 0, 0, 333, 921
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/docs/highlighters.md", "Markdown", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 36, 133
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/docs/highlighters/brackets.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 32
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/docs/highlighters/cursor.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/docs/highlighters/line.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/docs/highlighters/main.md", "Markdown", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 24, 122
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/docs/highlighters/pattern.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 9, 25
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/docs/highlighters/regexp.md", "Markdown", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 18, 66
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/docs/highlighters/root.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/README.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/README.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 32
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/brackets-highlighter.zsh", "Shell Script", 64, 0, 0, 0, 0, 0, 0, 0, 0, 35, 9, 108
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/test-data/cursor-matchingbracket-line-finish.zsh", "Shell Script", 5, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 37
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/test-data/cursor-matchingbracket.zsh", "Shell Script", 15, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 48
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/test-data/empty-styles.zsh", "Shell Script", 3, 0, 0, 0, 0, 0, 0, 0, 0, 28, 3, 34
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/test-data/loop-styles.zsh", "Shell Script", 21, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 54
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/test-data/mismatch-patentheses.zsh", "Shell Script", 10, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 43
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/test-data/near-quotes.zsh", "Shell Script", 10, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 43
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/test-data/nested-parentheses.zsh", "Shell Script", 13, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 46
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/test-data/only-error.zsh", "Shell Script", 4, 0, 0, 0, 0, 0, 0, 0, 0, 28, 3, 35
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/test-data/quoted-patentheses.zsh", "Shell Script", 4, 0, 0, 0, 0, 0, 0, 0, 0, 28, 3, 35
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/test-data/simple-parentheses.zsh", "Shell Script", 10, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 43
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/test-data/unclosed-patentheses.zsh", "Shell Script", 9, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 42
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/brackets/test-data/unclosed-patentheses2.zsh", "Shell Script", 8, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 41
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/cursor/README.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/cursor/cursor-highlighter.zsh", "Shell Script", 10, 0, 0, 0, 0, 0, 0, 0, 0, 32, 6, 48
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/line/README.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/line/line-highlighter.zsh", "Shell Script", 9, 0, 0, 0, 0, 0, 0, 0, 0, 31, 5, 45
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/README.md", "Markdown", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 24, 122
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/main-highlighter.zsh", "Shell Script", 1314, 0, 0, 0, 0, 0, 0, 0, 0, 426, 107, 1847
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/abspath-in-command-position1.zsh", "Shell Script", 4, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 36
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/abspath-in-command-position1b.zsh", "Shell Script", 5, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 37
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/abspath-in-command-position2.zsh", "Shell Script", 4, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 36
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/abspath-in-command-position3.zsh", "Shell Script", 6, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 38
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/abspath-in-command-position3b.zsh", "Shell Script", 7, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 39
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/abspath-in-command-position4.zsh", "Shell Script", 4, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 36
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/abspath-in-command-position5.zsh", "Shell Script", 4, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 36
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-assignment1.zsh", "Shell Script", 6, 0, 0, 0, 0, 0, 0, 0, 0, 30, 3, 39
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-basic.zsh", "Shell Script", 5, 0, 0, 0, 0, 0, 0, 0, 0, 28, 3, 36
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-brackets.zsh", "Shell Script", 6, 0, 0, 0, 0, 0, 0, 0, 0, 32, 4, 42
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-command-substitution.zsh", "Shell Script", 5, 0, 0, 0, 0, 0, 0, 0, 0, 30, 3, 38
